"30-12-2019","73,50"
"31-01-2020","74,00"
"28-02-2020","74,50"
"30-03-2020","78,50"
"30-04-2020","108,00"
"29-05-2020","115,00"
"30-06-2020","116,00"
"31-07-2020","131,00"
"31-08-2020","131,00"
"30-09-2020","140,00"
"30-10-2020","163,00"
"30-11-2020","149,00"
"30-12-2020","160,00"
"29-01-2021","148,00"
"26-02-2021","141,00"
"31-03-2021","136,00"
"30-04-2021","145,00"
"31-05-2021","152,00"
"30-06-2021","163,00"
"30-07-2021","175,50"
"31-08-2021","176,50"
"30-09-2021","182,00"
"29-10-2021","193,50"
"30-11-2021","197,50"
"30-12-2021","204,00"
"31-01-2022","209,00"
"25-02-2022","207,00"
"31-03-2022","196,00"
"29-04-2022","196,50"
"31-05-2022","201,00"
"30-06-2022","234,00"
"22-07-2022","328,00"
